['0.612601', '211.486286', '22.447198', '36168', '28.308987']
['0.488338', '256.007787', '43.832641', '45186', '21.657276']
['0.537871', '136.951551', '17.536927', '26323', '26.819333']
['0.515280', '150.042411', '-1.831386', '3395', '21.652766']
['0.562216', '182.164686', '14.595815', '26040', '22.987548']
['0.464335', '176.716985', '5.384929', '16832', '26.646586']
['0.507742', '162.603024', '-2.193039', '2306', '16.166463']
['0.509338', '152.092033', '33.134171', '30322', '21.307923']
['0.525194', '164.449261', '26.541895', '34204', '22.122929']
['0.488906', '114.947682', '36.291590', '37', '21.144587']
['0.634094', '232.854112', '11.941734', '22596', '43.775555']
['0.455385', '137.786928', '1.988976', '3599', '35.060550']
['0.614756', '134.969896', '45.251216', '19999', '24.679639']
['0.572595', '240.364088', '10.186188', '21708', '26.748325']
['0.520904', '206.146596', '-3.277075', '7353', '5.868965']
['0.564846', '142.214970', '13.479264', '27993', '26.393243']
['0.466956', '214.090230', '35.888481', '3757', '27.053067']
['0.582756', '197.274749', '0.701217', '6652', '23.389270']
['0.475529', '135.910297', '18.072399', '29582', '21.986168']
['0.594779', '236.222147', '44.419420', '41985', '32.833937']
['0.532830', '190.717503', '34.592314', '4651', '17.887214']
['0.563033', '201.034392', '2.520707', '7001', '28.415080']
['0.496511', '186.995711', '27.068285', '33763', '26.684533']
['0.472922', '177.423314', '13.875039', '25977', '27.123952']
['0.634354', '180.878340', '29.315612', '32873', '33.259752']
['0.513527', '181.203620', '6.731975', '22608', '15.359121']
['0.481803', '213.516722', '26.793610', '32041', '31.289929']
['0.537685', '210.054742', '21.686385', '36083', '23.487345']
['0.518945', '119.775102', '25.884130', '9500', '21.263967']
['0.445099', '224.007427', '49.009466', '43135', '19.226303']
['0.665925', '147.792016', '16.563298', '26411', '32.081941']
['0.554105', '182.387985', '26.636811', '33687', '30.851261']
['0.562688', '190.965820', '16.826845', '29535', '27.191952']
['0.467284', '226.801600', '45.164478', '44594', '18.814256']
['0.467709', '213.289871', '3.003637', '7991', '22.008311']
['0.552134', '176.966855', '40.907253', '13092', '22.836767']
['0.529039', '181.764531', '7.910760', '22104', '25.290306']
['0.512497', '189.257890', '12.768963', '24178', '24.374410']
['0.518793', '163.706015', '31.598381', '31549', '28.598060']
['0.462160', '243.841157', '42.794894', '42199', '27.854991']
['0.553779', '141.046423', '30.252501', '30358', '13.240163']
['0.504726', '150.467392', '6.844552', '17534', '25.795409']
['0.499471', '222.944935', '19.967785', '36584', '23.946818']
['0.474853', '213.295888', '8.394663', '25265', '32.414995']
['0.631773', '213.650642', '32.713848', '5098', '29.241584']
['0.458419', '218.074972', '51.354037', '41623', '20.820830']
['0.592467', '203.158074', '33.845533', '4975', '35.135237']
['0.535304', '141.399042', '16.029410', '26513', '25.703185']
['0.511004', '246.139380', '36.147989', '21614', '23.936338']
['0.453985', '225.030801', '25.317322', '31128', '15.620054']
['0.532216', '215.252855', '42.386720', '42734', '21.267444']
['0.503527', '124.939531', '11.213043', '10842', '29.500700']
['0.485829', '178.065905', '4.943989', '16829', '25.962030']
['0.500453', '174.968831', '6.721504', '22191', '28.976556']
['0.549964', '120.672991', '17.927571', '10959', '25.068127']
['0.585059', '178.372272', '16.124077', '23956', '31.007984']
['0.517115', '230.312627', '5.009465', '16949', '28.363622']
['0.492263', '157.661012', '23.785012', '37569', '31.114036']
['0.470386', '162.564170', '38.890421', '13026', '28.883167']
['0.524775', '232.287805', '22.366209', '5861', '22.963958']
['0.549074', '193.738247', '18.919533', '36600', '20.558462']
['0.569197', '182.748745', '21.720145', '35580', '26.972929']
['0.537007', '208.998998', '50.799403', '44450', '18.199914']
['0.477891', '202.050412', '42.088962', '37962', '26.704874']
['0.579814', '196.256433', '20.861652', '36558', '21.325461']
['0.538726', '181.538260', '3.492327', '15633', '28.683674']
['0.509557', '177.376755', '0.695172', '3522', '20.718922']
['0.634716', '191.901143', '12.921577', '24469', '27.629778']
['0.569012', '150.021427', '6.282397', '17514', '18.602985']
['0.441095', '244.255175', '26.898230', '18577', '20.340006']
['0.529759', '247.387748', '43.876041', '38292', '30.376208']
['0.590307', '242.124690', '29.917712', '19592', '34.988754']
['0.530324', '195.835555', '46.323139', '45507', '29.322421']
['0.459389', '190.052858', '9.927934', '22964', '26.274225']
['0.634292', '147.496523', '22.806458', '34127', '42.011792']
['0.484229', '124.264534', '41.298203', '1075', '23.545409']
['0.562202', '137.503690', '9.511477', '25938', '30.447588']
['0.638634', '210.091605', '32.684481', '4983', '32.539676']
['0.488928', '234.800163', '29.127364', '13169', '20.862480']
['0.539763', '181.215078', '-0.037642', '1863', '23.573244']
['0.449020', '210.886531', '1.024545', '6459', '31.298438']
['0.530603', '186.349249', '50.467936', '40667', '27.660736']
['0.482141', '210.975423', '39.068444', '12754', '23.439729']
['0.534508', '237.174871', '40.151269', '38009', '24.404801']
['0.447950', '166.213130', '10.398477', '22991', '23.769297']
['0.527789', '218.802237', '-1.155312', '7962', '28.387831']
['0.461799', '190.333035', '8.735420', '24955', '26.584318']
['0.475264', '242.425388', '42.814853', '42124', '18.084820']
['0.552759', '180.982456', '16.348167', '37104', '24.826966']
['0.546262', '152.279740', '10.839102', '23346', '15.512173']
['0.574847', '195.856433', '21.814164', '35762', '19.706266']
['0.584954', '148.252392', '34.214207', '30213', '31.830919']
['0.504915', '140.832521', '20.297611', '34081', '24.760012']
['0.600368', '160.806890', '-1.967195', '2303', '32.203093']
['0.532093', '250.401514', '20.014033', '8760', '16.307332']
['0.469736', '159.815551', '15.655339', '27885', '19.629255']
['0.557978', '206.443070', '15.753747', '27154', '22.815206']
['0.608303', '196.760381', '47.049043', '43395', '31.476562']
['0.589833', '210.652725', '7.867034', '22571', '37.755887']
['0.502891', '131.545217', '30.147622', '20926', '19.194238']
['0.513918', '192.746499', '26.536338', '34273', '23.701304']
['0.553902', '247.494681', '27.127025', '19328', '26.895445']
['0.517127', '216.889381', '47.327285', '44344', '29.969106']
['0.495435', '162.287308', '9.198238', '22919', '17.675100']
['0.539235', '163.671172', '43.700366', '12550', '21.601505']
['0.485286', '166.423951', '33.343994', '29680', '21.367733']
['0.489946', '128.054431', '59.337108', '28469', '16.055066']
['0.476131', '249.863426', '17.494529', '8175', '24.680592']
['0.469709', '142.481157', '12.700026', '27902', '30.961527']
['0.477471', '178.851555', '46.179827', '43763', '22.988148']
['0.515125', '149.087123', '16.658785', '27593', '24.881799']
['0.484899', '243.762704', '29.762245', '19045', '22.969056']
['0.514892', '208.895061', '47.136430', '40687', '15.766283']
['0.453302', '123.573008', '23.674346', '11134', '31.807223']
['0.474305', '150.581859', '-0.581444', '3048', '21.370686']
['0.529280', '195.655909', '41.928754', '12850', '26.753966']
['0.494575', '119.690759', '16.152246', '10337', '23.984727']
['0.527782', '164.155962', '43.226746', '12505', '24.605436']
['0.567714', '182.161963', '30.011590', '33009', '25.532866']
['0.575819', '212.381713', '35.296990', '4575', '21.492387']
['0.641497', '163.777950', '12.331116', '24538', '31.942233']
['0.486015', '221.158280', '48.563029', '41657', '25.211752']
